order_id,user_id,order_time,order_value,delivery_time_minutes,payment_method,is_discount_used,city
1,2,2024-02-04 21:07:00,374.96,9,UPI,True,Delhi
2,3,2024-03-29 20:16:00,365.23,20,UPI,True,Pune
3,5,2024-02-09 05:17:00,585.78,24,Card,True,Pune
4,5,2024-02-12 20:28:00,544.33,18,UPI,False,Pune
5,9,2024-01-23 18:29:00,756.63,22,Card,False,Delhi
6,11,2024-02-15 09:22:00,712.96,20,UPI,False,Pune
7,11,2024-02-19 19:32:00,708.44,16,Card,True,Pune
8,11,2024-02-27 09:12:00,600.45,15,COD,False,Pune
9,12,2024-03-04 20:32:00,508.56,16,UPI,False,Pune
10,13,2024-01-14 08:22:00,693.54,13,Card,True,Pune
11,15,2024-03-27 01:43:00,834.22,25,UPI,False,Delhi
12,16,2024-02-18 19:07:00,857.84,10,COD,False,Mumbai
13,16,2024-02-28 19:04:00,720.15,16,Card,False,Mumbai
14,18,2024-02-22 08:59:00,628.4,12,COD,False,Delhi
15,18,2024-03-04 10:23:00,303.08,19,UPI,True,Delhi
16,19,2024-03-22 20:06:00,869.19,21,COD,False,Delhi
17,20,2024-03-09 07:41:00,872.03,16,COD,False,Hyderabad
18,20,2024-03-18 09:28:00,769.92,16,COD,False,Hyderabad
19,20,2024-03-22 20:26:00,1083.76,5,Card,False,Hyderabad
20,22,2024-01-06 07:01:00,543.07,26,UPI,False,Bangalore
21,22,2024-01-09 01:36:00,657.61,6,Card,False,Bangalore
22,22,2024-01-19 08:54:00,688.97,9,Card,False,Bangalore
23,23,2024-01-18 13:47:00,411.72,20,COD,False,Delhi
24,23,2024-01-20 23:59:00,761.11,24,Card,True,Delhi
25,23,2024-01-26 08:52:00,601.77,23,COD,False,Delhi
26,25,2024-02-02 22:15:00,795.57,9,Card,False,Bangalore
27,26,2024-03-26 08:24:00,322.04,16,Card,False,Pune
28,28,2024-01-28 09:39:00,1019.88,26,COD,False,Pune
29,30,2024-03-31 11:36:00,1031.82,17,Card,True,Hyderabad
30,31,2024-02-20 10:32:00,523.91,18,UPI,False,Pune
31,32,2024-03-15 09:14:00,927.42,14,COD,False,Mumbai
32,32,2024-03-20 18:29:00,747.05,13,UPI,False,Mumbai
33,36,2024-03-27 00:58:00,507.94,14,UPI,False,Bangalore
34,37,2024-02-22 07:55:00,523.99,24,COD,False,Delhi
35,37,2024-03-15 15:18:00,826.56,15,COD,True,Delhi
36,40,2024-03-14 10:30:00,728.94,27,Card,True,Mumbai
37,41,2024-02-17 09:04:00,497.88,14,UPI,True,Pune
38,47,2024-02-25 19:05:00,664.19,18,UPI,True,Mumbai
39,47,2024-03-27 01:20:00,744.61,12,Card,False,Mumbai
40,50,2024-03-10 07:54:00,256.86,18,Card,True,Delhi
41,51,2024-02-01 09:43:00,499.17,12,COD,False,Pune
42,53,2024-01-25 09:39:00,977.86,17,Card,True,Mumbai
43,55,2024-03-29 09:52:00,431.85,19,COD,False,Mumbai
44,57,2024-03-02 19:31:00,529.58,19,UPI,False,Pune
45,57,2024-03-06 22:59:00,716.11,19,Card,True,Pune
46,57,2024-03-16 10:50:00,595.14,25,UPI,False,Pune
47,58,2024-02-25 10:11:00,781.6,27,UPI,False,Delhi
48,58,2024-03-09 18:54:00,1041.97,13,UPI,True,Delhi
49,59,2024-02-02 22:44:00,432.98,19,UPI,False,Mumbai
50,59,2024-02-07 09:10:00,1015.56,27,UPI,False,Mumbai
