user_id,signup_date,city,acquisition_channel,device_type,user_type
1,2024-03-22,Mumbai,Organic,iOS,regular
2,2024-02-01,Delhi,Instagram Ads,Android,one_time
3,2024-03-27,Pune,Organic,iOS,occasional
4,2024-01-05,Mumbai,Organic,Android,occasional
5,2024-01-30,Pune,Organic,Android,regular
6,2024-03-24,Pune,Referral,Android,regular
7,2024-02-27,Pune,Google Ads,Android,power
8,2024-01-21,Hyderabad,Google Ads,iOS,one_time
9,2024-01-20,Delhi,Google Ads,Android,occasional
10,2024-01-12,Hyderabad,Organic,iOS,occasional
11,2024-02-14,Pune,Google Ads,Android,power
12,2024-02-28,Pune,Organic,iOS,one_time
13,2024-01-11,Pune,Google Ads,iOS,one_time
14,2024-03-14,Delhi,Organic,Android,regular
15,2024-03-25,Delhi,Google Ads,Android,regular
16,2024-01-30,Mumbai,Referral,iOS,regular
17,2024-02-28,Bangalore,Instagram Ads,iOS,regular
18,2024-02-15,Delhi,Google Ads,Android,occasional
19,2024-03-18,Delhi,Instagram Ads,Android,occasional
20,2024-02-29,Hyderabad,Google Ads,Android,regular
21,2024-03-28,Bangalore,Organic,Android,occasional
22,2024-01-05,Bangalore,Referral,iOS,regular
23,2024-01-09,Delhi,Google Ads,Android,regular
24,2024-03-24,Hyderabad,Referral,iOS,regular
25,2024-01-19,Bangalore,Instagram Ads,Android,occasional
26,2024-03-12,Pune,Google Ads,iOS,occasional
27,2024-03-15,Hyderabad,Google Ads,Android,regular
28,2024-01-18,Pune,Referral,Android,occasional
29,2024-01-07,Mumbai,Instagram Ads,Android,occasional
30,2024-03-28,Hyderabad,Organic,iOS,power
31,2024-02-18,Pune,Referral,iOS,occasional
32,2024-03-11,Mumbai,Organic,iOS,regular
33,2024-03-23,Bangalore,Organic,iOS,power
34,2024-02-25,Delhi,Referral,Android,one_time
35,2024-02-03,Pune,Instagram Ads,Android,one_time
36,2024-03-21,Bangalore,Instagram Ads,Android,one_time
37,2024-02-17,Delhi,Organic,iOS,regular
38,2024-03-03,Mumbai,Organic,iOS,power
39,2024-02-09,Delhi,Organic,Android,occasional
40,2024-03-13,Mumbai,Organic,iOS,occasional
41,2024-01-09,Pune,Instagram Ads,Android,regular
42,2024-03-25,Hyderabad,Instagram Ads,iOS,occasional
43,2024-03-08,Pune,Referral,Android,power
44,2024-03-10,Delhi,Google Ads,iOS,one_time
45,2024-03-26,Bangalore,Referral,iOS,regular
46,2024-01-16,Delhi,Instagram Ads,Android,occasional
47,2024-02-13,Mumbai,Instagram Ads,Android,regular
48,2024-01-01,Mumbai,Organic,Android,occasional
49,2024-01-09,Mumbai,Google Ads,Android,occasional
50,2024-03-06,Delhi,Google Ads,iOS,regular
51,2024-01-28,Pune,Instagram Ads,iOS,one_time
52,2024-02-01,Hyderabad,Referral,Android,occasional
53,2024-01-13,Mumbai,Referral,iOS,one_time
54,2024-02-24,Hyderabad,Referral,Android,one_time
