event_date,app_open,product_view,add_to_cart,checkout,orders,view_rate,cart_rate,checkout_rate,purchase_rate
2024-01-02,15,13,7,2,1,0.8666666666666667,0.5384615384615384,0.2857142857142857,0.5
2024-01-03,25,18,15,10,7,0.72,0.8333333333333334,0.6666666666666666,0.7
2024-01-04,47,30,23,19,11,0.6382978723404256,0.7666666666666667,0.8260869565217391,0.5789473684210527
2024-01-05,83,66,48,22,17,0.7951807228915663,0.7272727272727273,0.4583333333333333,0.7727272727272727
2024-01-06,99,76,53,27,17,0.7676767676767676,0.6973684210526315,0.5094339622641509,0.6296296296296297
2024-01-07,116,90,55,28,22,0.7758620689655172,0.6111111111111112,0.509090909090909,0.7857142857142857
2024-01-08,184,147,98,50,37,0.7989130434782609,0.6666666666666666,0.5102040816326531,0.74
2024-01-09,179,141,94,44,35,0.7877094972067039,0.6666666666666666,0.46808510638297873,0.7954545454545454
2024-01-10,215,161,105,62,46,0.7488372093023256,0.6521739130434783,0.5904761904761905,0.7419354838709677
2024-01-11,234,171,118,58,44,0.7307692307692307,0.6900584795321637,0.4915254237288136,0.7586206896551724
2024-01-12,249,185,131,72,48,0.7429718875502008,0.7081081081081081,0.549618320610687,0.6666666666666666
2024-01-13,262,207,121,77,43,0.7900763358778626,0.5845410628019324,0.6363636363636364,0.5584415584415584
2024-01-14,307,231,136,75,49,0.752442996742671,0.5887445887445888,0.5514705882352942,0.6533333333333333
2024-01-15,280,209,124,81,60,0.7464285714285714,0.5933014354066986,0.6532258064516129,0.7407407407407407
2024-01-16,322,244,168,86,51,0.7577639751552795,0.6885245901639344,0.5119047619047619,0.5930232558139535
2024-01-17,351,273,153,97,64,0.7777777777777778,0.5604395604395604,0.6339869281045751,0.6597938144329897
2024-01-18,379,295,211,131,93,0.7783641160949868,0.7152542372881356,0.6208530805687204,0.7099236641221374
2024-01-19,391,287,204,110,77,0.7340153452685422,0.710801393728223,0.5392156862745098,0.7
