user_id,total_sessions,total_orders,user_segment
1,1,0,Inactive
2,2,1,Occasional User
3,1,1,Occasional User
4,5,0,Inactive
5,10,2,Occasional User
6,2,0,Inactive
7,7,0,Inactive
8,2,0,Inactive
9,5,1,Occasional User
10,4,0,Inactive
11,12,3,Regular User
12,2,1,Occasional User
13,1,1,Occasional User
14,2,0,Inactive
15,1,1,Occasional User
16,7,2,Occasional User
17,7,0,Inactive
18,5,2,Occasional User
19,3,1,Occasional User
20,7,3,Regular User
22,7,3,Regular User
23,8,3,Regular User
24,1,0,Inactive
25,5,1,Occasional User
26,3,1,Occasional User
27,2,0,Inactive
28,6,1,Occasional User
29,6,0,Inactive
30,1,1,Occasional User
31,6,1,Occasional User
32,6,2,Occasional User
33,2,0,Inactive
34,2,0,Inactive
35,2,0,Inactive
36,2,1,Occasional User
37,7,2,Occasional User
38,9,0,Inactive
39,5,0,Inactive
40,3,1,Occasional User
41,8,1,Occasional User
42,1,0,Inactive
43,4,0,Inactive
44,1,0,Inactive
46,5,0,Inactive
47,9,2,Occasional User
48,4,0,Inactive
49,5,0,Inactive
50,6,1,Occasional User
51,1,1,Occasional User
52,3,0,Inactive
53,2,1,Occasional User
54,1,0,Inactive
55,1,1,Occasional User
56,2,0,Inactive
57,19,3,Regular User
58,7,2,Occasional User
59,18,4,Regular User
60,10,2,Occasional User
61,8,2,Occasional User
62,5,1,Occasional User
63,2,0,Inactive
64,10,4,Regular User
65,1,1,Occasional User
66,6,1,Occasional User
67,3,1,Occasional User
68,1,1,Occasional User
69,13,3,Regular User
70,2,0,Inactive
71,5,1,Occasional User
72,3,1,Occasional User
73,12,0,Inactive
74,2,0,Inactive
75,6,1,Occasional User
76,5,2,Occasional User
77,6,1,Occasional User
78,11,3,Regular User
79,7,1,Occasional User
80,3,0,Inactive
81,1,1,Occasional User
82,6,1,Occasional User
83,10,1,Occasional User
84,13,2,Occasional User
85,7,1,Occasional User
86,7,0,Inactive
87,1,0,Inactive
88,6,2,Occasional User
89,2,2,Occasional User
90,3,0,Inactive
91,6,0,Inactive
92,4,2,Occasional User
93,1,0,Inactive
94,2,1,Occasional User
95,6,0,Inactive
96,3,0,Inactive
97,5,1,Occasional User
98,4,0,Inactive
99,9,0,Inactive
100,7,0,Inactive
101,11,4,Regular User
102,1,1,Occasional User
103,7,2,Occasional User
104,4,1,Occasional User
105,1,0,Inactive
106,6,0,Inactive
107,2,0,Inactive
109,9,3,Regular User
110,2,1,Occasional User
111,7,4,Regular User
112,6,2,Occasional User
113,1,1,Occasional User
114,2,0,Inactive
115,6,1,Occasional User
116,1,0,Inactive
117,1,0,Inactive
118,9,2,Occasional User
119,1,1,Occasional User
120,6,2,Occasional User
121,2,1,Occasional User
122,1,0,Inactive
123,5,1,Occasional User
124,2,0,Inactive
125,10,1,Occasional User
126,5,1,Occasional User
127,1,1,Occasional User
128,2,0,Inactive
129,18,3,Regular User
130,6,2,Occasional User
131,3,1,Occasional User
132,9,0,Inactive
133,5,2,Occasional User
134,7,3,Regular User
135,1,0,Inactive
136,5,1,Occasional User
137,6,2,Occasional User
138,3,0,Inactive
139,7,0,Inactive
140,1,0,Inactive
141,2,0,Inactive
142,7,2,Occasional User
143,6,3,Regular User
144,8,1,Occasional User
145,1,0,Inactive
146,15,2,Occasional User
147,4,1,Occasional User
148,3,1,Occasional User
149,14,1,Occasional User
150,4,2,Occasional User
151,2,1,Occasional User
152,10,0,Inactive
153,9,1,Occasional User
154,4,0,Inactive
155,1,0,Inactive
156,10,1,Occasional User
157,3,2,Occasional User
158,6,0,Inactive
159,1,0,Inactive
160,4,0,Inactive
161,7,2,Occasional User
162,5,1,Occasional User
163,6,2,Occasional User
164,4,1,Occasional User
165,9,4,Regular User
166,1,0,Inactive
167,6,0,Inactive
168,10,1,Occasional User
169,5,2,Occasional User
170,3,0,Inactive
171,3,2,Occasional User
172,7,2,Occasional User
173,2,1,Occasional User
174,7,2,Occasional User
175,1,1,Occasional User
176,6,1,Occasional User
177,5,1,Occasional User
178,9,2,Occasional User
179,1,1,Occasional User
180,4,0,Inactive
181,6,1,Occasional User
182,7,2,Occasional User
183,2,1,Occasional User
184,2,0,Inactive
186,3,0,Inactive
187,1,0,Inactive
188,6,4,Regular User
189,6,1,Occasional User
190,3,0,Inactive
191,5,0,Inactive
192,2,0,Inactive
193,2,1,Occasional User
194,4,1,Occasional User
195,4,0,Inactive
196,7,2,Occasional User
197,5,2,Occasional User
198,1,0,Inactive
200,4,3,Regular User
201,1,1,Occasional User
202,14,1,Occasional User
203,6,0,Inactive
204,2,0,Inactive
205,4,1,Occasional User
206,12,4,Regular User
207,8,1,Occasional User
208,4,1,Occasional User
209,12,2,Occasional User
210,10,3,Regular User
211,3,0,Inactive
212,5,1,Occasional User
213,3,2,Occasional User
214,6,0,Inactive
215,5,0,Inactive
216,7,3,Regular User
217,4,1,Occasional User
218,6,2,Occasional User
219,4,2,Occasional User
220,2,0,Inactive
221,2,0,Inactive
222,4,3,Regular User
223,7,1,Occasional User
224,2,0,Inactive
225,3,1,Occasional User
226,10,2,Occasional User
227,2,1,Occasional User
228,7,2,Occasional User
229,1,0,Inactive
230,5,2,Occasional User
231,5,0,Inactive
232,4,1,Occasional User
233,5,2,Occasional User
234,3,0,Inactive
235,10,3,Regular User
236,6,0,Inactive
237,6,0,Inactive
238,8,3,Regular User
239,4,0,Inactive
240,7,2,Occasional User
241,1,0,Inactive
242,1,1,Occasional User
244,2,0,Inactive
245,15,3,Regular User
246,2,1,Occasional User
247,6,2,Occasional User
248,2,0,Inactive
249,1,1,Occasional User
250,1,0,Inactive
251,7,1,Occasional User
252,5,2,Occasional User
253,1,0,Inactive
254,1,0,Inactive
255,2,1,Occasional User
256,3,0,Inactive
258,5,3,Regular User
259,4,1,Occasional User
261,5,2,Occasional User
262,1,0,Inactive
263,4,2,Occasional User
264,2,0,Inactive
265,1,0,Inactive
266,4,0,Inactive
267,5,3,Regular User
268,5,0,Inactive
269,7,2,Occasional User
270,8,2,Occasional User
271,2,0,Inactive
272,1,0,Inactive
273,2,1,Occasional User
274,1,0,Inactive
275,3,0,Inactive
276,1,0,Inactive
277,2,0,Inactive
278,4,1,Occasional User
279,4,0,Inactive
280,4,1,Occasional User
281,2,0,Inactive
282,6,3,Regular User
283,7,0,Inactive
284,8,1,Occasional User
285,1,0,Inactive
286,7,1,Occasional User
287,3,0,Inactive
288,6,1,Occasional User
289,4,1,Occasional User
290,4,0,Inactive
291,14,2,Occasional User
292,17,4,Regular User
293,2,0,Inactive
294,2,1,Occasional User
295,6,0,Inactive
296,3,1,Occasional User
297,3,1,Occasional User
298,5,0,Inactive
299,1,0,Inactive
300,1,0,Inactive
301,9,5,Regular User
302,6,1,Occasional User
303,4,1,Occasional User
304,5,1,Occasional User
305,3,0,Inactive
306,1,0,Inactive
308,2,1,Occasional User
309,5,1,Occasional User
310,8,0,Inactive
311,6,0,Inactive
312,19,3,Regular User
313,12,1,Occasional User
314,2,2,Occasional User
315,1,0,Inactive
316,4,0,Inactive
317,3,0,Inactive
319,8,0,Inactive
320,8,2,Occasional User
321,4,1,Occasional User
322,3,1,Occasional User
323,5,2,Occasional User
324,8,1,Occasional User
325,1,0,Inactive
326,4,0,Inactive
327,6,3,Regular User
328,4,1,Occasional User
329,6,2,Occasional User
330,8,3,Regular User
331,3,0,Inactive
332,3,0,Inactive
333,12,2,Occasional User
334,7,2,Occasional User
335,10,3,Regular User
336,16,3,Regular User
337,1,0,Inactive
338,3,0,Inactive
339,3,1,Occasional User
340,13,3,Regular User
341,3,0,Inactive
342,5,0,Inactive
343,9,3,Regular User
344,6,1,Occasional User
345,7,1,Occasional User
346,3,0,Inactive
347,5,1,Occasional User
348,10,1,Occasional User
349,5,2,Occasional User
350,3,1,Occasional User
351,4,1,Occasional User
352,2,1,Occasional User
353,2,1,Occasional User
355,2,1,Occasional User
356,5,1,Occasional User
357,11,4,Regular User
358,3,1,Occasional User
359,2,0,Inactive
360,1,0,Inactive
361,3,0,Inactive
362,4,2,Occasional User
363,5,1,Occasional User
364,5,1,Occasional User
365,2,0,Inactive
366,4,0,Inactive
367,1,0,Inactive
368,1,1,Occasional User
369,8,2,Occasional User
370,11,4,Regular User
371,8,2,Occasional User
372,8,1,Occasional User
373,14,5,Regular User
374,6,0,Inactive
375,5,2,Occasional User
376,10,1,Occasional User
377,2,0,Inactive
378,18,5,Regular User
379,2,0,Inactive
380,2,0,Inactive
381,8,1,Occasional User
382,4,2,Occasional User
383,6,0,Inactive
384,2,0,Inactive
385,5,2,Occasional User
386,2,0,Inactive
387,6,0,Inactive
388,8,4,Regular User
389,5,2,Occasional User
390,1,0,Inactive
391,2,0,Inactive
392,4,1,Occasional User
393,6,2,Occasional User
394,6,1,Occasional User
395,8,3,Regular User
396,2,0,Inactive
397,2,1,Occasional User
398,2,1,Occasional User
399,5,0,Inactive
400,4,0,Inactive
401,9,1,Occasional User
402,1,0,Inactive
403,3,1,Occasional User
404,2,0,Inactive
405,2,1,Occasional User
406,2,0,Inactive
407,4,0,Inactive
408,7,0,Inactive
409,1,0,Inactive
410,10,4,Regular User
411,8,0,Inactive
412,1,0,Inactive
413,1,1,Occasional User
414,3,0,Inactive
415,3,0,Inactive
416,4,0,Inactive
417,6,1,Occasional User
418,8,3,Regular User
419,4,1,Occasional User
420,5,0,Inactive
421,3,1,Occasional User
422,3,1,Occasional User
423,4,2,Occasional User
424,3,0,Inactive
425,12,4,Regular User
426,1,0,Inactive
427,6,3,Regular User
428,1,1,Occasional User
429,7,1,Occasional User
430,7,1,Occasional User
431,10,3,Regular User
432,3,2,Occasional User
434,6,0,Inactive
435,10,1,Occasional User
436,5,3,Regular User
437,8,1,Occasional User
438,2,0,Inactive
440,14,2,Occasional User
441,7,2,Occasional User
443,8,0,Inactive
444,9,1,Occasional User
445,2,0,Inactive
446,1,1,Occasional User
447,1,1,Occasional User
448,5,2,Occasional User
449,6,1,Occasional User
450,6,2,Occasional User
451,6,1,Occasional User
452,6,1,Occasional User
453,5,1,Occasional User
454,2,0,Inactive
455,6,2,Occasional User
456,6,0,Inactive
457,1,0,Inactive
458,5,2,Occasional User
459,3,0,Inactive
460,9,1,Occasional User
461,1,1,Occasional User
462,5,2,Occasional User
463,5,1,Occasional User
464,5,1,Occasional User
465,2,1,Occasional User
466,8,1,Occasional User
467,6,2,Occasional User
468,2,1,Occasional User
469,9,0,Inactive
470,1,0,Inactive
471,16,7,Regular User
472,1,0,Inactive
473,13,2,Occasional User
474,2,1,Occasional User
475,4,1,Occasional User
476,2,0,Inactive
477,16,3,Regular User
478,6,1,Occasional User
479,1,0,Inactive
480,6,0,Inactive
481,4,1,Occasional User
482,3,1,Occasional User
483,4,1,Occasional User
484,3,0,Inactive
485,3,0,Inactive
486,2,0,Inactive
487,18,3,Regular User
488,8,2,Occasional User
489,1,0,Inactive
490,1,0,Inactive
491,1,0,Inactive
493,7,0,Inactive
494,8,1,Occasional User
495,3,1,Occasional User
496,7,2,Occasional User
497,3,2,Occasional User
498,1,0,Inactive
499,1,0,Inactive
500,2,1,Occasional User
501,3,0,Inactive
503,2,0,Inactive
504,1,0,Inactive
506,7,1,Occasional User
507,2,1,Occasional User
508,2,0,Inactive
509,1,0,Inactive
510,4,0,Inactive
511,6,1,Occasional User
512,1,0,Inactive
513,1,0,Inactive
514,2,0,Inactive
515,13,2,Occasional User
516,18,6,Regular User
517,7,3,Regular User
518,1,0,Inactive
519,2,0,Inactive
520,7,2,Occasional User
521,4,2,Occasional User
522,7,4,Regular User
523,2,0,Inactive
524,2,0,Inactive
525,1,0,Inactive
526,5,3,Regular User
527,4,0,Inactive
528,4,1,Occasional User
529,12,3,Regular User
530,1,0,Inactive
531,1,0,Inactive
532,1,0,Inactive
533,1,0,Inactive
534,4,2,Occasional User
535,3,2,Occasional User
536,1,1,Occasional User
538,10,3,Regular User
539,1,0,Inactive
540,8,2,Occasional User
541,1,0,Inactive
543,8,4,Regular User
544,4,0,Inactive
545,3,1,Occasional User
546,6,2,Occasional User
547,1,0,Inactive
548,6,0,Inactive
549,5,2,Occasional User
550,5,0,Inactive
551,5,0,Inactive
552,2,1,Occasional User
553,4,0,Inactive
554,5,2,Occasional User
555,2,0,Inactive
556,5,0,Inactive
557,10,2,Occasional User
558,14,4,Regular User
559,5,0,Inactive
560,4,1,Occasional User
561,6,1,Occasional User
562,7,0,Inactive
563,6,1,Occasional User
564,18,6,Regular User
565,8,2,Occasional User
566,4,0,Inactive
567,4,0,Inactive
568,3,1,Occasional User
569,2,0,Inactive
570,9,3,Regular User
571,4,2,Occasional User
572,1,0,Inactive
573,10,4,Regular User
574,5,2,Occasional User
575,2,0,Inactive
576,1,0,Inactive
577,7,3,Regular User
578,1,1,Occasional User
579,6,1,Occasional User
580,1,0,Inactive
581,4,2,Occasional User
582,2,0,Inactive
583,6,1,Occasional User
584,8,2,Occasional User
585,5,0,Inactive
586,6,1,Occasional User
587,14,6,Regular User
